aids_report_number,local_event_date,event_city,event_state,event_airport,event_type,aircraft_damage,flight_phase,aircraft_make,aircraft_model,aircraft_series,operator,primary_flight_type,flight_conduct_code,flight_plan_filed_code,aircraft_registration_nbr,total_fatalities,total_injuries,aircraft_engine_make,aircraft_engine_model,engine_group_code,nbr_of_engines,pic_certificate_type,pic_flight_time_total_hrs,pic_flight_time_total_make-model,NULL,NULL
20100114026069I,14-JAN-10,NULL,NULL,NULL,INCIDENT,NONE,OTHER-SPECIFY,BOEING,737,300,VISION AIRLINES INC,NULL,AIR CARRIER/COMMERCIAL,NULL,732VA,0,1,CFM IN,CFM56 SERIES ,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,18000,5300,NULL,NULL
20100114027099I,14-JAN-10,BOWLING GREEN,OH,WOOD COUNTY,INCIDENT,MINOR,OTHER-SPECIFY,PIPER,PA-28R,PA-28R-201,BOWLING GREEN STATE UNIVERSITY,NULL,GENERAL OPERATING RULES,NULL,787BG,0,0,LYCOMI,I0360 SER A&C,NULL,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,810,160,NULL,NULL
20100115026129I,15-JAN-10,CRESCENT CITY,FL,NULL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,PIPER,PA-28,PA-28-161,EURO AMERICAN SCHOOL OF AVIATION,NULL,PILOT SCHOOLS,NULL,9225N,0,0,LYCOMI,O-320-D3G    ,O320  ,NULL,NULL,0,0,NULL,NULL
20100115026389I,15-JAN-10,STATEN ISLAND,NY,NULL,INCIDENT,NONE,CRUISE-LEVEL FLIGHT,PIPER,PA-18,PA-18-150,AERO-TECH SERVICES INC,NULL,GENERAL OPERATING RULES,NULL,4651Y,0,0,LYCOMI,O&VO-360 SER ,O-360-,NULL,COMMERCIAL PILOT FLIGHT INSTRUCTOR,450,65,NULL,NULL
20100115026412I,15-JAN-10,JASPER,GA,PICKENS COUNTY,INCIDENT,MINOR,GROUND-RAMP,CESSNA,CE-172,CE-172-F,NULL,NULL,GENERAL OPERATING RULES,NULL,5588R,0,0,CONT M,0-300        ,E2D   ,1,PRIVATE PILOT,720,432,NULL,NULL
20100117026429I,17-JAN-10,DETROIT,MI,DETROIT METROPOLITAN WAYNE COUNTY,INCIDENT,MINOR,OTHER-SPECIFY,CANADAIR-BOMBARDIER,CHALLENGER,600,MESABA AVIATION INC,NULL,AIR CARRIER/COMMERCIAL,NULL,834AY,0,0,GE    ,CF34-3B1     ,NULL,NULL,NULL,0,0,NULL,NULL
20100117026899I,17-JAN-10,WRIGHT,WY,NULL,INCIDENT,NONE,MANEUVER,BELL,BHT-206,BHT-206-B,SM HELICOPTERS INC,NULL,ROTORCRAFT EXTERNAL LOAD OPERATIONS,NULL,54GL ,0,0,ROLLS-,250-C20J     ,NULL,1,AIRLINE TRANSPORT,20000,7000,NULL,NULL
20100118001829I,18-JAN-10,ORLANDO,FL,ORLANDO SANFORD INTL,INCIDENT,MINOR,LANDING,CESSNA,CE-185,CE-185-F,NULL,NULL,GENERAL OPERATING RULES,UNKNOWN,525JB,0,0,ROTAX ,ROTAX*       ,NULL,1,PRIVATE PILOT,750,55,NULL,NULL
20100118026799I,18-JAN-10,SANFORD,FL,SANFORD,INCIDENT,MINOR,LANDING: TOUCHDOWN,SEAREY,SEAREY,NULL,NULL,NULL,GENERAL OPERATING RULES,NULL,252JB,0,0,BOMBAR,ROTAX (ALL)  ,NULL,1,PRIVATE PILOT,750,55,NULL,NULL
20100119025979I,19-JAN-10,APPOMATTOX,VA,NULL,INCIDENT,MINOR,DESCENT,BELL,BHT-407,NULL,PAK WEST AIRLINES INC,NULL,GENERAL OPERATING RULES,NULL,34VA ,0,0,ALLISO,250-C47      ,N/A   ,1,COMMERCIAL PILOT FLIGHT INSTRUCTOR,5140,410,NULL,NULL
